product_id,date,quantity
1,1/1/2022,93.14
1,2/1/2022,97.46
1,3/1/2022,90.71
1,4/1/2022,97.1
1,5/1/2022,90.74
1,6/1/2022,94.34
1,7/1/2022,97.94
1,8/1/2022,107.93
1,9/1/2022,105.01
1,10/1/2022,102.09
1,11/1/2022,94.56
1,12/1/2022,94.46333333
1,13/01/2022,94.36666667
1,14/01/2022,94.27
1,15/01/2022,93.26
1,16/01/2022,94.28
1,17/01/2022,95.49
1,18/01/2022,95.61
1,19/01/2022,95.61
1,20/01/2022,95.61
1,21/01/2022,95.61
1,22/01/2022,96.09
1,23/01/2022,95.795
1,24/01/2022,95.5
1,25/01/2022,95.205
1,26/01/2022,94.91
1,27/01/2022,94.615
1,28/01/2022,94.32
1,29/01/2022,94.025
1,30/01/2022,93.73
1,31/01/2022,93.435
1,1/2/2022,93.14
1,2/2/2022,94.50333333
1,3/2/2022,95.86666667
1,4/2/2022,97.23
1,5/2/2022,93.7
1,6/2/2022,96.675
1,7/2/2022,99.65
1,8/2/2022,106.94
1,9/2/2022,107.98
1,10/2/2022,104.15
1,11/2/2022,98.88
1,12/2/2022,93.61
1,13/02/2022,97.03
1,14/02/2022,97.3
1,15/02/2022,95.95
1,16/02/2022,95.95
1,17/02/2022,95.95
1,18/02/2022,95.95
1,19/02/2022,96.69
1,20/02/2022,94.92
1,21/02/2022,92.79
1,22/02/2022,93.12
1,23/02/2022,92.99333333
1,24/02/2022,92.86666667
1,25/02/2022,92.74
1,26/02/2022,92.63
1,27/02/2022,92.84
1,28/02/2022,92.03
1,1/3/2022,92.97
1,2/3/2022,93.65333333
1,3/3/2022,94.33666667
1,4/3/2022,95.02
1,5/3/2022,95.25
1,6/3/2022,93.41
1,7/3/2022,101.92
1,8/3/2022,105.295
1,9/3/2022,108.67
1,10/3/2022,103.29
1,11/3/2022,99.56
1,12/3/2022,95.83
1,13/03/2022,92.47
1,14/03/2022,93.03
1,15/03/2022,93.49
1,16/03/2022,93.56333333
1,17/03/2022,93.63666667
1,18/03/2022,93.71
1,19/03/2022,92.44
1,20/03/2022,93.21
1,21/03/2022,92.46
1,22/03/2022,93.41
1,23/03/2022,93.79
1,24/03/2022,94.17
1,25/03/2022,94.55
1,26/03/2022,95.99
1,27/03/2022,96.53
1,28/03/2022,97.24
1,29/03/2022,97.24
1,30/03/2022,95.86666667
1,31/03/2022,94.49333333
1,1/4/2022,93.12
1,2/4/2022,96.21
1,3/4/2022,90.13
1,4/4/2022,93.26
1,5/4/2022,93.31
1,6/4/2022,93.36
1,7/4/2022,102
1,8/4/2022,104.645
1,9/4/2022,107.29
1,10/4/2022,103.83
1,11/4/2022,94.58
1,12/4/2022,96.97
1,13/04/2022,94.23
1,14/04/2022,91.49
1,15/04/2022,88.75
1,16/04/2022,88.73
1,17/04/2022,86.65
1,18/04/2022,87.83
1,19/04/2022,88.04
1,20/04/2022,88.29666667
1,21/04/2022,88.55333333
1,22/04/2022,88.81
1,23/04/2022,89.21
1,24/04/2022,91.07
