id,sale_date,quantity,store_id,product_id
1,2025-11-02,1.00,1,1
2,2022-01-01,93.14,1,1
3,2022-01-02,97.46,1,1
4,2022-01-03,90.71,1,1
5,2022-01-04,97.10,1,1
6,2022-01-05,90.74,1,1
7,2022-01-06,94.34,1,1
8,2022-01-07,97.94,1,1
9,2022-01-08,107.93,1,1
10,2022-01-09,105.01,1,1
11,2022-01-10,102.09,1,1
12,2022-01-11,94.56,1,1
13,2022-01-12,94.46,1,1
14,2022-01-13,94.37,1,1
15,2022-01-14,94.27,1,1
16,2022-01-15,93.26,1,1
17,2022-01-16,94.28,1,1
18,2022-01-17,95.49,1,1
19,2022-01-18,95.61,1,1
20,2022-01-19,95.61,1,1
21,2022-01-20,95.61,1,1
22,2022-01-21,95.61,1,1
23,2022-01-22,96.09,1,1
24,2022-01-23,95.80,1,1
25,2022-01-24,95.50,1,1
26,2022-01-25,95.21,1,1
27,2022-01-26,94.91,1,1
28,2022-01-27,94.62,1,1
29,2022-01-28,94.32,1,1
30,2022-01-29,94.03,1,1
31,2022-01-30,93.73,1,1
32,2022-01-31,93.44,1,1
33,2022-02-01,93.14,1,1
34,2022-02-02,94.50,1,1
35,2022-02-03,95.87,1,1
36,2022-02-04,97.23,1,1
37,2022-02-05,93.70,1,1
38,2022-02-06,96.68,1,1
39,2022-02-07,99.65,1,1
40,2022-02-08,106.94,1,1
41,2022-02-09,107.98,1,1
42,2022-02-10,104.15,1,1
43,2022-02-11,98.88,1,1
44,2022-02-12,93.61,1,1
45,2022-02-13,97.03,1,1
46,2022-02-14,97.30,1,1
47,2022-02-15,95.95,1,1
48,2022-02-16,95.95,1,1
49,2022-02-17,95.95,1,1
50,2022-02-18,95.95,1,1
51,2022-02-19,96.69,1,1
52,2022-02-20,94.92,1,1
53,2022-02-21,92.79,1,1
54,2022-02-22,93.12,1,1
55,2022-02-23,92.99,1,1
56,2022-02-24,92.87,1,1
57,2022-02-25,92.74,1,1
58,2022-02-26,92.63,1,1
59,2022-02-27,92.84,1,1
60,2022-02-28,92.03,1,1
61,2022-03-01,92.97,1,1
62,2022-03-02,93.65,1,1
63,2022-03-03,94.34,1,1
64,2022-03-04,95.02,1,1
65,2022-03-05,95.25,1,1
66,2022-03-06,93.41,1,1
67,2022-03-07,101.92,1,1
68,2022-03-08,105.30,1,1
69,2022-03-09,108.67,1,1
70,2022-03-10,103.29,1,1
71,2022-03-11,99.56,1,1
72,2022-03-12,95.83,1,1
73,2022-03-13,92.47,1,1
74,2022-03-14,93.03,1,1
75,2022-03-15,93.49,1,1
76,2022-03-16,93.56,1,1
77,2022-03-17,93.64,1,1
78,2022-03-18,93.71,1,1
79,2022-03-19,92.44,1,1
80,2022-03-20,93.21,1,1
81,2022-03-21,92.46,1,1
82,2022-03-22,93.41,1,1
83,2022-03-23,93.79,1,1
84,2022-03-24,94.17,1,1
85,2022-03-25,94.55,1,1
86,2022-03-26,95.99,1,1
87,2022-03-27,96.53,1,1
88,2022-03-28,97.24,1,1
89,2022-03-29,97.24,1,1
90,2022-03-30,95.87,1,1
91,2022-03-31,94.49,1,1
92,2022-04-01,93.12,1,1
93,2022-04-02,96.21,1,1
94,2022-04-03,90.13,1,1
95,2022-04-04,93.26,1,1
96,2022-04-05,93.31,1,1
97,2022-04-06,93.36,1,1
98,2022-04-07,102.00,1,1
99,2022-04-08,104.65,1,1
100,2022-04-09,107.29,1,1
101,2022-04-10,103.83,1,1
102,2022-04-11,94.58,1,1
103,2022-04-12,96.97,1,1
104,2022-04-13,94.23,1,1
105,2022-04-14,91.49,1,1
106,2022-04-15,88.75,1,1
107,2022-04-16,88.73,1,1
108,2022-04-17,86.65,1,1
109,2022-04-18,87.83,1,1
110,2022-04-19,88.04,1,1
111,2022-04-20,88.30,1,1
112,2022-04-21,88.55,1,1
113,2022-04-22,88.81,1,1
114,2022-04-23,89.21,1,1
115,2022-04-24,91.07,1,1
116,2022-04-25,93.27,1,1
117,2022-04-26,92.63,1,1
118,2022-04-27,93.12,1,1
119,2022-04-28,93.60,1,1
120,2022-04-29,94.09,1,1
121,2022-04-30,93.22,1,1
122,2022-05-01,94.95,1,1
123,2022-05-02,96.68,1,1
124,2022-05-03,90.88,1,1
125,2022-05-04,92.76,1,1
126,2022-05-05,93.21,1,1
127,2022-05-06,93.66,1,1
128,2022-05-07,103.09,1,1
129,2022-05-08,106.61,1,1
130,2022-05-09,108.50,1,1
131,2022-05-10,100.95,1,1
132,2022-05-11,93.40,1,1
133,2022-05-12,97.14,1,1
134,2022-05-13,94.76,1,1
135,2022-05-14,93.96,1,1
136,2022-05-15,93.95,1,1
137,2022-05-16,94.85,1,1
138,2022-05-17,95.72,1,1
139,2022-05-18,95.91,1,1
140,2022-05-19,96.10,1,1
141,2022-05-20,96.29,1,1
142,2022-05-21,95.55,1,1
143,2022-05-22,93.98,1,1
144,2022-05-23,94.12,1,1
145,2022-05-24,93.84,1,1
146,2022-05-25,93.84,1,1
147,2022-05-26,93.84,1,1
148,2022-05-27,93.84,1,1
149,2022-05-28,94.65,1,1
150,2022-05-29,93.13,1,1
151,2022-05-30,93.57,1,1
152,2022-05-31,91.93,1,1
153,2022-06-01,94.19,1,1
154,2022-06-02,96.44,1,1
155,2022-06-03,90.47,1,1
156,2022-06-04,93.14,1,1
157,2022-06-05,95.80,1,1
158,2022-06-06,94.71,1,1
159,2022-06-07,100.02,1,1
160,2022-06-08,105.32,1,1
161,2022-06-09,110.62,1,1
162,2022-06-10,102.68,1,1
163,2022-06-11,94.74,1,1
164,2022-06-12,97.48,1,1
165,2022-06-13,96.66,1,1
166,2022-06-14,97.83,1,1
167,2022-06-15,97.84,1,1
168,2022-06-16,97.85,1,1
169,2022-06-17,97.86,1,1
170,2022-06-18,98.46,1,1
171,2022-06-19,98.24,1,1
172,2022-06-20,94.89,1,1
173,2022-06-21,93.81,1,1
174,2022-06-22,94.23,1,1
175,2022-06-23,94.65,1,1
176,2022-06-24,95.07,1,1
177,2022-06-25,95.25,1,1
178,2022-06-26,95.47,1,1
179,2022-06-27,97.00,1,1
180,2022-06-28,96.36,1,1
181,2022-06-29,95.31,1,1
182,2022-06-30,94.25,1,1
183,2022-07-01,93.20,1,1
184,2022-07-02,95.84,1,1
185,2022-07-03,91.53,1,1
186,2022-07-04,93.41,1,1
187,2022-07-05,95.28,1,1
188,2022-07-06,96.11,1,1
189,2022-07-07,100.26,1,1
190,2022-07-08,104.41,1,1
191,2022-07-09,103.74,1,1
192,2022-07-10,103.07,1,1
193,2022-07-11,94.25,1,1
194,2022-07-12,97.24,1,1
195,2022-07-13,100.23,1,1
196,2022-07-14,103.21,1,1
197,2022-07-15,106.20,1,1
198,2022-07-16,105.88,1,1
199,2022-07-17,106.39,1,1
200,2022-07-18,107.94,1,1
201,2022-07-19,108.00,1,1
202,2022-07-20,107.54,1,1
203,2022-07-21,107.07,1,1
204,2022-07-22,106.61,1,1
205,2022-07-23,107.13,1,1
206,2022-07-24,105.41,1,1
207,2022-07-25,105.47,1,1
208,2022-07-26,104.76,1,1
209,2022-07-27,104.71,1,1
210,2022-07-28,104.66,1,1
211,2022-07-29,104.61,1,1
212,2022-07-30,103.14,1,1
213,2022-07-31,105.10,1,1
214,2022-08-01,93.21,1,1
215,2022-08-02,95.71,1,1
216,2022-08-03,92.01,1,1
217,2022-08-04,93.36,1,1
218,2022-08-05,96.24,1,1
219,2022-08-06,99.64,1,1
220,2022-08-07,103.03,1,1
221,2022-08-08,103.45,1,1
222,2022-08-09,103.50,1,1
223,2022-08-10,103.54,1,1
224,2022-08-11,94.56,1,1
225,2022-08-12,100.67,1,1
226,2022-08-13,106.78,1,1
227,2022-08-14,106.89,1,1
228,2022-08-15,107.43,1,1
229,2022-08-16,107.58,1,1
230,2022-08-17,107.43,1,1
231,2022-08-18,107.29,1,1
232,2022-08-19,107.14,1,1
233,2022-08-20,104.90,1,1
234,2022-08-21,103.93,1,1
235,2022-08-22,104.93,1,1
236,2022-08-23,106.48,1,1
237,2022-08-24,106.28,1,1
238,2022-08-25,106.08,1,1
239,2022-08-26,105.88,1,1
240,2022-08-27,109.11,1,1
241,2022-08-28,110.17,1,1
242,2022-08-29,108.51,1,1
243,2022-08-30,107.98,1,1
244,2022-08-31,100.53,1,1
245,2022-09-01,93.08,1,1
246,2022-09-02,97.01,1,1
247,2022-09-03,95.60,1,1
248,2022-09-04,94.18,1,1
249,2022-09-05,96.09,1,1
250,2022-09-06,99.78,1,1
251,2022-09-07,103.46,1,1
252,2022-09-08,106.04,1,1
253,2022-09-09,109.62,1,1
254,2022-09-10,101.63,1,1
255,2022-09-11,99.37,1,1
256,2022-09-12,97.10,1,1
257,2022-09-13,108.31,1,1
258,2022-09-14,107.72,1,1
259,2022-09-15,107.13,1,1
260,2022-09-16,106.54,1,1
261,2022-09-17,105.36,1,1
262,2022-09-18,108.23,1,1
263,2022-09-19,106.26,1,1
264,2022-09-20,104.70,1,1
265,2022-09-21,104.34,1,1
266,2022-09-22,103.98,1,1
267,2022-09-23,103.62,1,1
268,2022-09-24,103.22,1,1
269,2022-09-25,102.68,1,1
270,2022-09-26,103.10,1,1
271,2022-09-27,102.86,1,1
272,2022-09-28,102.69,1,1
273,2022-09-29,102.53,1,1
274,2022-09-30,102.36,1,1
275,2022-10-01,93.81,1,1
