product_id,sale_date,quantity,store_id
1,1/1/2022,93.14,1
1,2/1/2022,97.46,1
1,3/1/2022,90.71,1
1,4/1/2022,97.1,1
1,5/1/2022,90.74,1
1,6/1/2022,94.34,1
1,7/1/2022,97.94,1
1,8/1/2022,107.93,1
1,9/1/2022,105.01,1
1,10/1/2022,102.09,1
1,11/1/2022,94.56,1
1,12/1/2022,94.46333333,1
1,13/01/2022,94.36666667,1
1,14/01/2022,94.27,1
1,15/01/2022,93.26,1
1,16/01/2022,94.28,1
1,17/01/2022,95.49,1
1,18/01/2022,95.61,1
1,19/01/2022,95.61,1
1,20/01/2022,95.61,1
1,21/01/2022,95.61,1
1,22/01/2022,96.09,1
1,23/01/2022,95.795,1
1,24/01/2022,95.5,1
1,25/01/2022,95.205,1
1,26/01/2022,94.91,1
1,27/01/2022,94.615,1
1,28/01/2022,94.32,1
1,29/01/2022,94.025,1
1,30/01/2022,93.73,1
1,31/01/2022,93.435,1
1,1/2/2022,93.14,1
1,2/2/2022,94.50333333,1
1,3/2/2022,95.86666667,1
1,4/2/2022,97.23,1
1,5/2/2022,93.7,1
1,6/2/2022,96.675,1
1,7/2/2022,99.65,1
1,8/2/2022,106.94,1
1,9/2/2022,107.98,1
1,10/2/2022,104.15,1
1,11/2/2022,98.88,1
1,12/2/2022,93.61,1
1,13/02/2022,97.03,1
1,14/02/2022,97.3,1
1,15/02/2022,95.95,1
1,16/02/2022,95.95,1
1,17/02/2022,95.95,1
1,18/02/2022,95.95,1
1,19/02/2022,96.69,1
1,20/02/2022,94.92,1
1,21/02/2022,92.79,1
1,22/02/2022,93.12,1
1,23/02/2022,92.99333333,1
1,24/02/2022,92.86666667,1
1,25/02/2022,92.74,1
1,26/02/2022,92.63,1
1,27/02/2022,92.84,1
1,28/02/2022,92.03,1
1,1/3/2022,92.97,1
1,2/3/2022,93.65333333,1
1,3/3/2022,94.33666667,1
1,4/3/2022,95.02,1
1,5/3/2022,95.25,1
1,6/3/2022,93.41,1
1,7/3/2022,101.92,1
1,8/3/2022,105.295,1
1,9/3/2022,108.67,1
1,10/3/2022,103.29,1
1,11/3/2022,99.56,1
1,12/3/2022,95.83,1
1,13/03/2022,92.47,1
1,14/03/2022,93.03,1
1,15/03/2022,93.49,1
1,16/03/2022,93.56333333,1
1,17/03/2022,93.63666667,1
1,18/03/2022,93.71,1
1,19/03/2022,92.44,1
1,20/03/2022,93.21,1
1,21/03/2022,92.46,1
1,22/03/2022,93.41,1
1,23/03/2022,93.79,1
1,24/03/2022,94.17,1
1,25/03/2022,94.55,1
1,26/03/2022,95.99,1
1,27/03/2022,96.53,1
1,28/03/2022,97.24,1
1,29/03/2022,97.24,1
1,30/03/2022,95.86666667,1
1,31/03/2022,94.49333333,1
1,1/4/2022,93.12,1
1,2/4/2022,96.21,1
1,3/4/2022,90.13,1
1,4/4/2022,93.26,1
1,5/4/2022,93.31,1
1,6/4/2022,93.36,1
1,7/4/2022,102,1
1,8/4/2022,104.645,1
1,9/4/2022,107.29,1
1,10/4/2022,103.83,1
1,11/4/2022,94.58,1
1,12/4/2022,96.97,1
1,13/04/2022,94.23,1
1,14/04/2022,91.49,1
1,15/04/2022,88.75,1
1,16/04/2022,88.73,1
1,17/04/2022,86.65,1
1,18/04/2022,87.83,1
1,19/04/2022,88.04,1
1,20/04/2022,88.29666667,1
1,21/04/2022,88.55333333,1
1,22/04/2022,88.81,1
1,23/04/2022,89.21,1
1,24/04/2022,91.07,1
1,25/04/2022,93.27,1
1,26/04/2022,92.63,1
1,27/04/2022,93.11666667,1
1,28/04/2022,93.60333333,1
1,29/04/2022,94.09,1
1,30/04/2022,93.22,1
1,1/5/2022,94.95,1
1,2/5/2022,96.68,1
1,3/5/2022,90.88,1
1,4/5/2022,92.76,1
1,5/5/2022,93.21,1
1,6/5/2022,93.66,1
1,7/5/2022,103.09,1
1,8/5/2022,106.61,1
1,9/5/2022,108.5,1
1,10/5/2022,100.95,1
1,11/5/2022,93.4,1
1,12/5/2022,97.14,1
1,13/05/2022,94.76,1
1,14/05/2022,93.96,1
1,15/05/2022,93.95,1
1,16/05/2022,94.85,1
1,17/05/2022,95.72,1
1,18/05/2022,95.91,1
1,19/05/2022,96.1,1
1,20/05/2022,96.29,1
1,21/05/2022,95.55,1
1,22/05/2022,93.98,1
1,23/05/2022,94.12,1
1,24/05/2022,93.84,1
1,25/05/2022,93.84,1
1,26/05/2022,93.84,1
1,27/05/2022,93.84,1
1,28/05/2022,94.65,1
1,29/05/2022,93.13,1
1,30/05/2022,93.57,1
1,31/05/2022,91.93,1
1,1/6/2022,94.185,1
1,2/6/2022,96.44,1
1,3/6/2022,90.47,1
1,4/6/2022,93.135,1
1,5/6/2022,95.8,1
1,6/6/2022,94.71,1
1,7/6/2022,100.015,1
1,8/6/2022,105.32,1
1,9/6/2022,110.62,1
1,10/6/2022,102.68,1
1,11/6/2022,94.74,1
1,12/6/2022,97.48,1
1,13/06/2022,96.66,1
1,14/06/2022,97.83,1
1,15/06/2022,97.84,1
1,16/06/2022,97.85,1
1,17/06/2022,97.86,1
1,18/06/2022,98.46,1
1,19/06/2022,98.24,1
1,20/06/2022,94.89,1
1,21/06/2022,93.81,1
1,22/06/2022,94.23,1
1,23/06/2022,94.65,1
1,24/06/2022,95.07,1
1,25/06/2022,95.25,1
1,26/06/2022,95.47,1
1,27/06/2022,97,1
1,28/06/2022,96.36,1
1,29/06/2022,95.30666667,1
1,30/06/2022,94.25333333,1
1,1/7/2022,93.2,1
1,2/7/2022,95.84,1
1,3/7/2022,91.53,1
1,4/7/2022,93.405,1
1,5/7/2022,95.28,1
1,6/7/2022,96.11,1
1,7/7/2022,100.26,1
1,8/7/2022,104.41,1
1,9/7/2022,103.74,1
1,10/7/2022,103.07,1
1,11/7/2022,94.25,1
1,12/7/2022,97.2375,1
1,13/07/2022,100.225,1
1,14/07/2022,103.2125,1
1,15/07/2022,106.2,1
1,16/07/2022,105.88,1
1,17/07/2022,106.39,1
1,18/07/2022,107.94,1
1,19/07/2022,108,1
1,20/07/2022,107.5366667,1
1,21/07/2022,107.0733333,1
1,22/07/2022,106.61,1
1,23/07/2022,107.13,1
1,24/07/2022,105.41,1
1,25/07/2022,105.47,1
1,26/07/2022,104.76,1
1,27/07/2022,104.71,1
1,28/07/2022,104.66,1
1,29/07/2022,104.61,1
1,30/07/2022,103.14,1
1,31/07/2022,105.1,1
1,1/8/2022,93.21,1
1,2/8/2022,95.71,1
1,3/8/2022,92.01,1
1,4/8/2022,93.36,1
1,5/8/2022,96.24,1
1,6/8/2022,99.635,1
1,7/8/2022,103.03,1
1,8/8/2022,103.45,1
1,9/8/2022,103.495,1
1,10/8/2022,103.54,1
1,11/8/2022,94.56,1
1,12/8/2022,100.67,1
1,13/08/2022,106.78,1
1,14/08/2022,106.89,1
1,15/08/2022,107.43,1
1,16/08/2022,107.58,1
1,17/08/2022,107.4333333,1
1,18/08/2022,107.2866667,1
1,19/08/2022,107.14,1
1,20/08/2022,104.9,1
1,21/08/2022,103.93,1
1,22/08/2022,104.93,1
1,23/08/2022,106.48,1
1,24/08/2022,106.28,1
1,25/08/2022,106.08,1
1,26/08/2022,105.88,1
1,27/08/2022,109.11,1
1,28/08/2022,110.17,1
1,29/08/2022,108.51,1
1,30/08/2022,107.98,1
1,31/08/2022,100.53,1
1,1/9/2022,93.08,1
1,2/9/2022,97.01,1
1,3/9/2022,95.595,1
1,4/9/2022,94.18,1
1,5/9/2022,96.09,1
1,6/9/2022,99.775,1
1,7/9/2022,103.46,1
1,8/9/2022,106.04,1
1,9/9/2022,109.62,1
1,10/9/2022,101.63,1
1,11/9/2022,99.365,1
1,12/9/2022,97.1,1
1,13/09/2022,108.31,1
1,14/09/2022,107.72,1
1,15/09/2022,107.13,1
1,16/09/2022,106.54,1
1,17/09/2022,105.36,1
1,18/09/2022,108.23,1
1,19/09/2022,106.26,1
1,20/09/2022,104.7,1
1,21/09/2022,104.34,1
1,22/09/2022,103.98,1
1,23/09/2022,103.62,1
1,24/09/2022,103.22,1
1,25/09/2022,102.68,1
1,26/09/2022,103.1,1
1,27/09/2022,102.86,1
